FamilyMembers,FanHoursPerDay,RefrigeratorHoursPerDay,AirConditionerHoursPerDay,TelevisionHoursPerDay,MonitorHoursPerDay,WashingMachineHoursPerWeek,LightingHoursPerDay,City,Month,TariffRateINRPerKWh,MonthlyConsumptionKWh,ElectricityBillINR
4,5.5,17.6,5.1,2.2,0.4,2.2,5.8,Mumbai,12,8.9,369.7,3290.49
2,5.3,23.3,3.2,3.5,2.1,0.6,5.3,Kolkata,5,7.5,317.5,2381.31
2,4.5,15.6,6.0,0.0,2.5,4.0,10.2,Mumbai,11,8.9,392.4,3492.33
2,1.0,23.7,9.6,5.1,3.8,3.9,6.1,Chennai,9,8.1,600.3,4862.58
4,3.8,22.6,1.3,2.1,2.8,2.7,3.4,Kolkata,1,7.9,226.5,1789.02
1,9.2,19.5,2.3,1.5,5.2,3.0,3.6,Hyderabad,7,7.9,273.2,2158.21
2,10.7,22.8,5.4,5.3,5.1,2.3,8.3,Bengaluru,5,8.1,476.1,3856.2
3,10.4,18.5,3.7,0.8,5.7,1.2,6.6,Pune,5,8.0,324.5,2596.22
1,9.3,17.2,4.0,4.4,2.6,1.0,5.3,Mumbai,2,8.8,324.2,2852.95
3,4.5,24.0,4.6,3.5,2.0,2.1,5.1,Kolkata,11,7.7,394.3,3036.38
1,4.0,18.4,2.8,3.6,0.3,2.4,7.4,Hyderabad,3,7.9,257.4,2033.45
2,2.5,22.0,2.0,3.4,5.6,4.7,4.4,Kolkata,7,7.8,256.8,2003.03
6,5.5,23.3,4.6,3.8,0.7,4.0,5.7,Hyderabad,6,8.1,420.9,3408.91
5,7.2,22.4,1.0,0.0,1.2,5.3,7.5,Hyderabad,12,8.1,246.1,1993.75
2,4.5,21.8,1.8,1.8,3.5,4.0,4.5,Hyderabad,2,7.9,241.5,1908.03
4,8.1,22.0,3.3,1.7,2.4,0.6,8.5,Jaipur,6,7.6,322.4,2450.29
6,8.6,23.2,3.2,5.7,5.9,0.8,2.7,Pune,2,8.2,365.1,2993.71
4,5.8,21.0,7.9,3.8,1.5,1.4,6.1,Bengaluru,2,7.9,555.4,4387.37
1,3.6,19.9,0.6,3.5,3.1,2.5,6.2,Bengaluru,2,7.7,185.5,1428.5
4,10.5,15.9,3.3,7.2,0.0,1.8,2.0,Kolkata,11,7.8,302.9,2362.39
6,7.1,21.0,5.1,0.0,5.5,4.0,4.5,Kolkata,3,7.9,428.5,3384.77
6,11.9,23.1,2.6,6.3,0.0,4.8,7.2,Hyderabad,2,7.9,345.5,2729.53
2,7.2,16.7,2.7,3.5,8.0,1.2,4.6,Jaipur,4,7.5,287.1,2152.88
3,7.4,19.3,2.9,2.0,2.8,0.5,5.5,Hyderabad,9,8.2,320.8,2630.94
2,4.6,21.3,2.8,2.4,2.4,5.5,5.2,Jaipur,6,7.2,301.7,2172.47
1,5.9,24.0,1.3,2.5,2.9,3.3,7.9,Hyderabad,1,7.9,233.8,1847.17
4,3.1,16.5,1.6,6.5,0.9,2.2,6.7,Mumbai,8,8.9,238.2,2119.98
3,3.6,22.4,1.7,4.0,4.3,5.4,5.1,Mumbai,12,9.0,255.1,2295.98
5,8.9,18.9,12.0,4.9,2.2,4.9,4.6,Chennai,7,8.3,721.9,5991.63
6,6.3,18.0,3.7,2.0,2.4,2.1,7.7,Hyderabad,10,7.9,351.7,2778.17
3,5.9,17.2,2.8,3.7,5.6,4.3,6.3,Pune,3,7.8,311.5,2429.66
3,5.1,18.0,1.4,5.3,0.0,4.7,8.0,Chennai,1,8.1,202.0,1636.25
2,6.0,21.5,11.9,5.8,2.6,4.3,7.2,Kolkata,5,7.8,704.6,5495.87
5,9.8,19.3,6.6,0.8,2.8,4.9,2.0,Lucknow,4,7.2,463.8,3339.6
6,7.4,22.1,5.3,5.1,3.3,1.6,8.1,Hyderabad,10,8.3,446.1,3702.36
1,4.0,16.6,8.0,3.2,1.9,3.0,6.2,Mumbai,8,8.6,484.4,4165.84
1,9.6,22.1,2.1,4.2,2.4,5.5,6.5,Lucknow,1,7.0,281.2,1968.52
3,11.3,21.3,8.1,2.4,6.7,2.4,2.0,Jaipur,10,7.6,554.1,4211.24
3,8.2,15.5,3.9,6.6,4.0,2.0,5.0,Lucknow,1,7.2,318.5,2293.18
4,9.2,24.0,6.5,4.0,1.4,3.2,6.1,Pune,12,8.1,493.1,3994.21
5,10.1,21.0,4.3,2.3,4.3,0.6,3.4,Hyderabad,4,8.3,397.2,3296.59
6,2.9,22.3,2.1,2.5,3.1,3.5,8.7,Bengaluru,8,7.7,272.6,2099.29
3,11.7,23.5,7.1,5.2,4.5,0.5,7.5,Lucknow,5,7.0,534.2,3739.11
4,9.7,22.9,1.2,4.9,2.6,4.9,5.2,Bengaluru,2,8.0,262.1,2097.16
5,8.2,19.6,6.6,3.7,1.4,0.6,9.6,Jaipur,6,7.2,441.2,3176.83
6,6.7,22.2,0.3,2.7,0.0,4.3,6.7,Chennai,5,8.4,201.2,1690.46
1,3.7,14.6,0.8,5.4,5.3,1.9,8.7,Bengaluru,2,8.1,185.0,1498.36
4,6.2,21.2,1.6,2.4,4.4,1.4,4.4,Chennai,11,8.5,263.2,2237.43
5,8.1,24.0,2.7,2.3,3.7,3.0,7.0,Mumbai,11,9.0,322.8,2905.06
4,4.2,17.9,5.5,8.6,4.3,3.4,8.7,Hyderabad,11,8.3,443.5,3681.31
3,6.8,22.7,1.7,4.3,5.5,3.1,8.4,Lucknow,3,7.2,271.7,1955.97
2,4.0,24.0,4.3,3.3,0.0,3.5,8.0,Mumbai,9,8.8,381.4,3356.7
1,6.0,22.1,2.8,2.6,3.2,4.0,8.5,Mumbai,7,8.9,319.4,2842.78
3,3.6,23.1,6.3,3.1,0.0,0.0,9.1,Ahmedabad,7,7.8,423.8,3305.76
3,3.4,15.3,1.4,6.0,2.2,3.2,2.0,Delhi,11,7.6,212.6,1615.88
5,7.9,17.2,3.2,5.2,3.7,1.0,5.1,Pune,6,8.1,328.8,2663.24
4,5.6,24.0,7.2,2.2,2.3,1.1,2.5,Chennai,8,8.3,502.1,4167.36
1,5.8,22.9,1.7,2.8,6.5,1.3,2.5,Ahmedabad,4,7.6,257.8,1959.4
3,5.4,21.5,4.7,0.9,2.4,0.0,5.0,Delhi,8,7.3,389.5,2843.3
5,13.8,19.2,0.7,4.0,1.5,3.0,5.1,Pune,4,8.2,210.3,1724.83
1,8.5,20.9,7.7,0.0,3.1,0.3,8.7,Chennai,8,8.4,518.9,4358.83
4,8.8,24.0,1.6,0.4,0.9,3.6,3.6,Hyderabad,9,8.2,271.3,2225.04
3,5.1,19.7,1.7,3.7,1.2,5.3,6.4,Pune,3,7.8,246.3,1921.32
6,8.3,22.1,0.9,0.0,4.9,5.3,9.2,Lucknow,3,7.0,242.0,1694.18
3,6.4,22.0,4.5,8.1,5.0,1.4,5.7,Mumbai,11,8.8,390.9,3439.64
3,5.0,18.0,3.4,1.7,3.3,1.2,9.9,Delhi,2,7.3,322.3,2352.62
1,11.8,18.2,1.4,4.5,4.2,4.2,2.2,Delhi,10,7.3,251.0,1832.23
1,8.4,24.0,3.0,6.0,7.2,3.1,4.3,Delhi,3,7.6,372.9,2834.07
1,8.3,21.7,12.0,4.0,2.9,2.9,9.1,Chennai,3,8.1,778.4,6304.84
1,4.6,18.0,8.4,3.5,1.3,1.0,4.6,Lucknow,5,7.4,513.9,3802.96
5,3.8,19.1,9.7,2.4,4.1,3.2,5.5,Pune,5,8.1,586.0,4746.42
2,6.9,17.0,1.7,0.9,4.7,4.3,9.3,Mumbai,2,8.9,223.9,1992.52
5,5.6,23.2,1.5,2.5,4.9,1.8,7.3,Lucknow,12,7.3,269.7,1968.61
3,8.5,19.2,0.6,3.7,5.3,3.7,2.7,Ahmedabad,10,7.4,233.6,1728.85
5,8.7,19.3,5.2,3.4,5.0,3.2,7.2,Hyderabad,6,7.9,432.9,3419.87
4,7.2,22.5,3.3,1.6,4.0,2.0,4.6,Bengaluru,5,8.0,339.8,2718.37
6,9.1,15.0,10.2,5.6,4.3,2.9,5.0,Lucknow,6,7.2,637.4,4589.09
1,7.5,19.9,7.2,0.6,3.8,1.4,5.8,Ahmedabad,1,7.8,496.2,3870.03
4,4.8,20.0,6.0,4.7,0.0,4.3,4.8,Mumbai,5,8.8,430.2,3786.07
6,6.5,19.1,1.0,5.2,0.0,1.5,7.0,Bengaluru,9,8.0,231.5,1851.76
4,7.3,18.4,1.0,4.0,0.9,2.1,4.3,Bengaluru,12,8.1,207.0,1677.05
3,9.3,17.9,0.3,6.8,4.6,4.4,6.6,Lucknow,10,7.2,209.6,1508.97
1,7.6,20.8,1.4,4.3,2.1,2.2,7.5,Delhi,2,7.7,239.2,1841.83
4,5.6,17.0,1.0,6.3,3.3,1.6,5.9,Kolkata,1,7.9,222.6,1758.75
3,9.4,20.5,4.7,0.0,6.1,3.3,6.1,Mumbai,10,9.0,376.4,3387.67
1,8.0,18.3,2.3,5.4,5.2,5.7,6.2,Delhi,11,7.7,300.6,2314.6
2,10.9,18.5,2.0,4.7,0.0,4.7,6.3,Mumbai,9,8.6,275.9,2372.67
3,7.2,20.6,2.8,4.6,4.5,3.9,5.8,Kolkata,10,7.8,311.4,2428.63
5,4.4,18.5,3.2,4.7,3.1,4.5,5.7,Hyderabad,9,8.3,314.2,2608.04
1,9.9,23.8,1.8,2.5,1.7,3.8,5.8,Kolkata,9,7.5,254.9,1911.7
4,5.6,19.6,3.3,5.0,2.3,3.3,6.4,Jaipur,6,7.4,310.6,2298.16
6,7.7,23.1,5.0,7.1,2.4,4.4,5.1,Lucknow,8,7.2,432.7,3115.37
4,7.5,17.7,5.6,0.0,0.4,3.5,5.7,Lucknow,11,7.0,412.2,2885.2
5,7.1,17.6,1.0,5.9,3.5,2.9,8.0,Ahmedabad,1,7.6,235.5,1789.54
5,6.6,15.0,2.6,3.2,7.4,3.3,10.0,Delhi,10,7.5,321.4,2410.56
4,2.9,18.5,11.0,2.2,5.0,3.5,10.9,Ahmedabad,4,7.4,654.8,4845.41
6,4.5,19.3,8.3,1.1,0.0,3.5,6.3,Jaipur,1,7.2,524.5,3776.39
1,9.8,20.2,7.6,4.3,3.6,3.5,3.9,Kolkata,8,7.5,517.4,3880.32
3,8.1,22.1,4.1,6.7,3.6,1.5,5.5,Lucknow,1,7.0,365.4,2557.57
5,11.8,21.9,2.5,2.7,1.0,2.7,6.3,Chennai,3,8.3,332.2,2757.54
5,4.4,23.4,0.5,4.8,0.6,1.1,8.2,Kolkata,4,7.9,232.9,1840.07
5,6.9,17.3,1.2,3.5,4.8,3.4,4.6,Kolkata,8,7.5,240.6,1804.81
6,9.9,20.1,3.8,0.2,3.2,3.5,5.8,Jaipur,6,7.5,376.3,2822.47
2,5.6,17.0,5.1,3.1,2.0,5.0,4.0,Hyderabad,10,8.3,381.3,3164.75
6,5.8,21.2,4.4,2.2,4.2,3.5,9.3,Mumbai,12,8.8,407.4,3585.4
1,6.3,24.0,1.0,1.5,7.2,2.4,7.1,Jaipur,7,7.6,247.8,1883.0
1,5.9,16.4,2.1,2.6,3.5,2.4,5.3,Mumbai,8,8.8,236.2,2078.55
1,8.3,22.1,7.8,2.9,3.6,4.0,6.1,Lucknow,2,7.0,569.7,3987.64
1,2.5,23.1,2.6,5.5,3.0,2.0,3.3,Jaipur,10,7.4,289.9,2145.47
1,11.1,17.3,4.4,3.5,2.2,3.2,6.9,Mumbai,11,8.6,364.6,3135.36
4,4.6,21.3,2.2,0.7,4.6,4.4,6.8,Ahmedabad,8,7.6,268.2,2038.38
5,1.7,18.9,0.6,5.9,2.6,6.0,2.5,Jaipur,3,7.2,203.1,1462.66
6,7.0,19.6,3.6,4.3,4.0,4.7,4.5,Lucknow,7,7.2,372.2,2679.62
4,6.1,18.8,2.5,4.1,6.0,2.2,5.4,Jaipur,3,7.5,263.9,1979.62
6,6.6,19.3,2.7,5.2,4.5,1.9,5.4,Lucknow,7,7.0,317.4,2222.15
2,7.8,23.5,3.2,3.5,0.5,3.9,5.0,Jaipur,11,7.2,340.8,2454.06
3,8.6,19.8,1.3,2.4,0.3,2.7,6.3,Mumbai,12,8.9,232.4,2068.44
5,11.2,18.2,3.1,4.2,5.5,0.8,8.8,Hyderabad,2,7.9,305.0,2409.72
2,5.3,20.2,1.4,4.7,2.8,6.9,7.0,Pune,10,8.2,231.8,1901.14
4,8.9,13.6,6.0,4.3,3.5,3.3,8.4,Mumbai,6,9.0,434.0,3905.93
3,8.8,17.5,12.0,5.1,1.4,4.9,6.7,Delhi,3,7.5,663.1,4973.57
2,1.0,23.7,1.7,3.7,4.2,2.5,5.4,Bengaluru,3,8.1,286.0,2316.73
6,4.9,19.6,7.9,1.5,6.8,3.0,5.6,Hyderabad,9,8.1,571.2,4626.55
3,3.8,18.6,2.9,2.2,3.3,3.2,7.6,Ahmedabad,7,7.6,279.1,2121.02
6,8.1,20.5,4.3,6.2,4.3,2.6,7.1,Kolkata,5,7.9,416.6,3291.34
2,7.8,22.2,2.6,3.6,5.5,1.9,8.7,Mumbai,12,8.9,320.6,2853.42
4,7.9,24.0,1.7,1.2,6.4,6.3,6.0,Jaipur,10,7.5,280.6,2104.26
6,6.2,18.6,2.0,1.1,1.6,3.5,3.2,Mumbai,7,8.8,269.5,2371.7
3,6.5,18.7,9.7,0.8,3.8,0.6,5.6,Chennai,9,8.4,538.7,4525.2
2,6.9,19.3,1.3,5.1,5.6,3.2,3.0,Hyderabad,1,7.9,233.6,1845.6
6,6.0,23.1,6.0,4.1,6.1,0.8,5.7,Pune,7,8.1,463.1,3750.73
4,8.9,20.2,3.0,7.2,2.2,1.7,3.7,Ahmedabad,6,7.4,351.8,2603.06
5,4.3,24.0,0.5,4.7,1.7,3.2,5.8,Chennai,10,8.5,209.5,1780.59
4,5.0,19.5,3.1,4.8,2.7,3.8,6.3,Lucknow,12,7.2,328.4,2364.51
4,7.3,24.0,12.0,7.5,2.4,0.0,5.8,Chennai,9,8.3,720.9,5983.32
5,6.1,17.3,5.3,1.6,2.4,5.6,5.4,Mumbai,1,8.8,427.6,3762.44
4,4.2,15.8,0.3,0.5,3.8,2.0,5.2,Ahmedabad,4,7.7,154.6,1190.2
5,8.3,19.7,5.0,4.6,1.9,2.7,8.3,Mumbai,9,8.8,391.7,3447.24
5,5.6,23.4,3.3,3.0,6.1,5.3,6.6,Lucknow,4,7.3,357.1,2606.48
6,4.9,18.6,1.1,4.1,2.2,5.6,3.0,Kolkata,10,7.7,235.8,1815.98
6,6.6,18.2,2.2,5.9,1.8,2.1,6.3,Ahmedabad,3,7.4,287.3,2125.87
5,4.8,23.1,1.1,5.0,0.7,4.6,9.0,Kolkata,9,7.8,236.7,1845.97
2,6.9,22.1,0.5,6.5,5.5,3.2,5.1,Hyderabad,2,7.9,204.4,1614.88
3,6.1,17.6,2.1,1.7,0.4,7.0,5.2,Hyderabad,4,7.9,247.4,1954.46
2,5.7,17.4,2.5,5.3,3.9,2.0,7.3,Kolkata,6,7.9,266.8,2107.62
5,5.7,22.5,1.8,2.0,4.4,5.5,4.3,Hyderabad,2,8.3,264.8,2197.85
3,9.5,15.1,2.1,6.8,0.0,2.1,3.6,Ahmedabad,8,7.4,248.0,1835.46
6,7.9,23.2,1.7,4.4,0.4,1.4,2.9,Jaipur,8,7.4,277.1,2050.19
3,2.7,22.1,3.0,4.5,2.2,2.5,7.4,Delhi,1,7.7,309.1,2380.27
5,9.2,13.2,7.8,2.3,6.8,0.5,7.7,Hyderabad,12,8.3,485.0,4025.26
6,8.3,20.0,0.6,2.4,2.2,1.6,4.8,Hyderabad,3,7.9,200.2,1581.62
3,8.1,14.1,3.9,4.3,2.0,2.5,3.7,Mumbai,10,8.6,331.4,2849.98
3,9.2,16.4,3.9,7.0,1.5,2.6,7.7,Kolkata,9,7.5,349.0,2617.63
2,7.0,18.5,1.6,6.7,1.5,4.4,5.7,Bengaluru,5,8.0,238.4,1906.82
3,8.6,16.2,8.9,4.2,1.7,4.2,2.0,Pune,6,8.1,577.0,4674.1
5,5.8,24.0,0.8,2.7,1.7,2.9,6.7,Chennai,4,8.4,241.9,2032.09
1,9.1,22.6,5.0,4.6,1.6,0.4,6.6,Hyderabad,10,8.2,419.5,3439.6
1,7.5,24.0,3.2,6.0,1.6,0.0,8.8,Chennai,2,8.4,335.0,2813.71
1,3.6,19.6,1.1,3.9,2.2,2.2,7.7,Ahmedabad,11,7.7,202.3,1558.0
5,9.6,20.1,7.9,2.7,4.9,1.7,7.8,Bengaluru,8,8.1,542.6,4394.66
1,6.7,24.0,0.6,4.9,0.8,2.1,4.2,Pune,11,8.1,199.5,1615.55
2,6.3,21.3,9.2,3.0,1.7,5.4,3.3,Kolkata,6,7.7,519.3,3998.87
5,5.9,21.8,2.3,2.8,2.0,2.1,7.0,Delhi,5,7.6,287.7,2186.32
6,6.1,17.3,2.4,3.4,3.0,1.7,6.0,Pune,9,7.8,254.7,1986.52
5,7.6,17.3,1.1,4.8,1.5,3.0,7.3,Pune,1,8.0,217.5,1740.23
5,4.5,20.8,2.5,3.1,7.2,2.2,6.3,Delhi,5,7.6,294.8,2240.61
3,3.1,21.1,7.4,3.4,4.2,3.9,8.9,Jaipur,6,7.5,553.6,4152.07
3,4.3,17.0,5.1,3.8,4.9,3.4,5.1,Kolkata,5,7.5,371.9,2789.17
3,8.0,21.1,12.4,2.7,3.5,5.8,6.1,Mumbai,6,8.6,756.0,6501.38
4,6.6,16.3,1.7,6.6,5.8,2.6,4.7,Chennai,6,8.1,248.6,2013.82
2,9.8,20.0,2.2,7.2,0.7,5.9,4.3,Hyderabad,7,8.1,292.6,2369.79
5,6.8,15.7,5.4,2.9,1.9,4.0,8.6,Pune,4,8.0,398.8,3190.52
5,9.1,24.0,4.0,1.9,1.4,3.8,5.8,Ahmedabad,11,7.6,354.3,2692.49
3,5.3,19.1,2.3,2.6,2.7,0.0,10.9,Delhi,8,7.7,274.4,2112.76
5,5.9,17.9,0.9,4.4,6.2,0.0,3.3,Chennai,7,8.5,215.4,1830.81
6,7.0,16.6,7.0,3.3,7.4,0.6,6.2,Bengaluru,9,8.1,500.1,4050.58
5,6.6,16.3,1.2,0.9,4.9,3.3,6.3,Delhi,7,7.5,219.0,1642.78
1,6.4,21.3,1.8,3.2,2.8,4.1,8.5,Bengaluru,3,8.1,255.0,2065.49
6,4.8,23.0,2.3,4.3,5.2,3.8,4.2,Kolkata,3,7.9,321.2,2537.61
6,3.0,22.7,3.7,5.5,6.0,3.1,4.8,Pune,8,7.8,383.1,2988.53
5,8.6,24.0,1.5,7.0,5.4,4.4,3.2,Ahmedabad,5,7.4,278.6,2061.79
4,8.3,24.0,3.1,2.6,2.7,4.8,8.9,Hyderabad,4,8.3,344.3,2857.84
3,5.5,22.9,5.3,2.3,2.8,2.5,2.6,Bengaluru,8,8.1,389.9,3158.08
2,7.9,18.5,11.1,3.0,1.7,3.8,6.2,Chennai,6,8.5,684.5,5818.42
2,6.6,20.5,1.5,1.6,2.5,3.6,11.0,Jaipur,2,7.6,252.1,1916.28
1,9.8,13.2,0.7,2.1,1.4,4.2,8.3,Kolkata,4,7.5,187.9,1409.51
2,3.7,21.9,3.9,2.1,2.9,3.5,8.5,Jaipur,12,7.2,363.7,2618.75
2,6.7,20.4,0.7,4.2,3.0,3.4,9.4,Kolkata,11,7.9,217.0,1714.02
3,6.5,24.0,4.8,1.8,1.3,2.1,6.3,Mumbai,4,8.6,445.9,3834.79
3,7.4,17.8,3.4,5.1,8.4,3.3,6.3,Chennai,6,8.4,344.9,2896.92
4,10.8,21.5,3.2,5.8,3.6,2.5,6.0,Jaipur,6,7.2,356.4,2565.77
1,6.7,17.0,1.2,1.2,5.6,1.4,5.8,Ahmedabad,1,7.4,187.5,1387.34
2,8.9,19.7,9.4,0.9,5.4,3.4,4.8,Pune,8,8.2,616.7,5057.06
4,6.6,15.1,2.8,2.4,6.9,1.5,8.8,Delhi,6,7.6,324.0,2462.33
1,9.7,24.0,4.9,2.7,1.2,2.9,4.9,Hyderabad,3,8.1,409.6,3317.99
6,8.9,23.2,3.1,6.0,1.9,2.5,5.4,Pune,9,7.8,364.0,2839.47
2,6.2,18.6,4.4,3.4,0.0,2.2,3.4,Pune,2,8.1,366.9,2972.22
2,6.0,20.8,7.6,4.3,0.0,5.1,7.7,Kolkata,11,7.8,561.7,4381.22
3,8.2,20.1,1.2,4.3,1.0,5.5,9.2,Ahmedabad,8,7.8,249.5,1946.32
5,5.4,18.2,1.5,1.7,2.7,2.6,2.0,Kolkata,10,7.8,208.9,1629.63
1,7.5,20.4,1.9,3.0,2.8,4.5,9.1,Lucknow,3,7.4,267.0,1975.6
2,6.1,18.7,7.5,3.5,9.4,0.6,7.5,Bengaluru,12,8.0,534.0,4272.31
1,7.9,22.9,7.0,4.3,4.0,1.2,8.5,Hyderabad,5,8.1,519.3,4206.67
4,6.6,19.4,3.5,0.6,4.9,2.9,6.7,Bengaluru,6,7.9,329.0,2599.12
4,5.3,24.0,2.3,2.3,3.3,1.4,7.2,Delhi,10,7.7,288.6,2222.02
5,9.8,19.8,2.6,3.5,0.4,3.6,6.7,Lucknow,6,7.2,301.2,2168.82
2,7.6,20.3,5.2,2.6,3.6,3.4,4.0,Chennai,4,8.1,405.8,3287.07
3,6.9,21.6,7.2,0.7,0.0,2.9,5.8,Delhi,3,7.7,497.3,3829.5
2,8.0,22.5,5.5,2.1,2.6,6.6,5.0,Delhi,4,7.6,448.3,3407.28
1,2.8,20.2,3.0,0.7,4.3,3.6,8.2,Mumbai,1,8.6,299.9,2579.18
6,12.2,21.5,6.1,6.3,1.8,3.9,5.5,Hyderabad,4,8.3,481.8,3998.84
4,7.1,20.5,1.7,2.9,3.4,3.7,7.0,Kolkata,1,7.9,249.2,1968.4
1,2.1,17.7,8.2,3.4,1.8,1.6,3.8,Ahmedabad,12,7.8,514.0,4009.11
5,10.0,16.9,8.1,1.5,0.8,5.9,9.7,Bengaluru,1,8.1,539.7,4371.84
4,5.1,22.1,2.8,4.0,4.0,0.9,6.5,Delhi,10,7.6,337.2,2562.74
3,9.6,24.0,2.1,4.9,5.1,3.4,3.3,Bengaluru,6,8.0,314.8,2518.16
4,7.3,15.1,2.1,1.7,5.1,4.1,8.0,Bengaluru,5,7.9,265.5,2097.26
6,3.1,15.7,2.2,1.7,2.5,4.5,6.5,Chennai,11,8.5,249.9,2124.09
2,7.7,15.7,4.9,2.5,0.0,2.5,7.6,Hyderabad,4,8.1,347.1,2811.9
6,7.5,22.3,0.5,0.7,3.2,4.1,12.0,Hyderabad,11,7.9,227.0,1793.19
6,9.9,22.6,2.5,4.3,5.5,1.4,8.3,Jaipur,3,7.5,331.1,2483.23
2,8.3,17.1,5.4,5.0,0.4,5.5,8.2,Pune,1,8.2,379.7,3113.84
4,3.9,24.0,2.8,0.6,6.6,2.8,5.3,Hyderabad,6,8.2,325.5,2669.47
5,9.5,18.8,1.4,5.3,0.0,2.3,6.2,Bengaluru,2,7.7,247.0,1902.02
2,6.0,24.0,3.4,5.3,3.8,2.0,5.3,Kolkata,8,7.7,306.6,2360.82
2,11.3,22.4,2.5,0.0,4.7,3.4,3.4,Bengaluru,10,8.0,286.7,2294.0
3,6.1,17.1,6.1,1.3,5.9,0.6,5.1,Kolkata,5,7.8,416.7,3250.37
4,6.5,18.7,1.0,2.3,3.9,4.3,8.3,Jaipur,7,7.6,211.5,1607.06
2,4.9,17.4,3.5,4.6,2.3,2.1,6.8,Kolkata,10,7.8,323.1,2520.02
5,5.8,16.0,7.2,4.4,3.3,5.0,3.7,Hyderabad,12,8.3,534.2,4434.15
1,5.1,19.2,3.6,1.7,1.6,1.1,5.8,Chennai,2,8.3,318.9,2647.0
4,9.9,16.4,1.5,6.7,0.0,3.2,4.4,Kolkata,8,7.9,248.7,1964.64
3,3.7,19.5,0.2,2.1,2.5,3.8,6.9,Bengaluru,2,7.9,170.3,1345.14
6,9.0,24.0,1.7,1.8,4.0,4.0,4.6,Ahmedabad,4,7.4,294.0,2175.4
2,9.1,22.1,2.3,1.2,5.1,2.2,4.9,Hyderabad,1,8.1,283.8,2298.59
5,10.4,18.3,0.8,3.1,2.0,1.1,3.4,Ahmedabad,5,7.6,209.0,1588.1
4,7.1,18.1,2.7,5.3,6.0,2.3,9.3,Lucknow,9,7.0,305.2,2136.05
5,4.4,18.8,2.3,1.7,2.7,4.7,5.9,Lucknow,1,7.0,254.9,1784.64
5,6.6,24.0,1.0,3.9,4.0,6.1,5.8,Bengaluru,9,8.0,268.5,2148.35
6,8.5,16.7,4.2,3.9,4.5,0.6,6.7,Lucknow,11,7.2,371.3,2673.22
3,7.2,20.0,4.9,3.4,3.1,1.9,6.8,Pune,8,8.2,394.1,3231.35
4,7.9,21.4,11.7,4.1,2.8,0.4,4.6,Jaipur,6,7.2,766.1,5515.61
2,10.4,23.6,2.4,5.3,6.1,2.2,6.5,Hyderabad,7,7.9,302.4,2389.07
3,8.5,19.0,0.9,4.0,0.0,2.0,6.2,Ahmedabad,3,7.7,215.7,1661.02
2,7.5,17.1,1.1,5.6,3.1,1.2,8.0,Bengaluru,1,7.9,236.6,1868.76
1,2.4,20.9,8.9,1.3,0.0,5.5,7.5,Pune,5,8.1,570.1,4618.05
5,5.0,23.9,3.1,2.6,0.0,4.7,6.0,Bengaluru,12,8.1,315.7,2557.26
1,6.0,19.2,2.5,1.3,2.9,3.4,6.0,Pune,12,8.0,284.0,2272.04
5,2.1,17.5,5.8,4.6,1.9,2.8,5.6,Lucknow,2,7.0,414.9,2904.31
6,4.2,20.3,2.2,5.9,7.2,4.3,6.2,Lucknow,5,7.4,296.6,2195.08
3,6.3,15.1,7.6,2.9,2.5,1.5,5.9,Kolkata,8,7.8,468.8,3656.5
2,6.7,19.3,1.8,4.1,5.3,3.4,6.3,Mumbai,11,8.8,280.7,2470.3
6,8.3,23.5,5.4,0.5,3.1,2.1,3.1,Bengaluru,9,8.1,428.9,3474.24
2,6.5,22.6,3.0,3.5,0.6,6.5,4.7,Kolkata,2,7.5,306.3,2297.05
3,7.6,19.6,3.3,0.2,0.0,1.0,8.9,Hyderabad,12,8.2,325.6,2670.05
4,6.0,24.0,2.4,3.6,0.3,2.6,4.7,Kolkata,3,7.8,273.0,2129.19
1,7.1,24.0,7.5,0.0,3.7,1.1,5.7,Delhi,3,7.3,513.6,3749.07
1,8.1,22.0,1.4,6.9,6.2,4.1,6.4,Lucknow,1,7.2,258.4,1860.22
2,10.7,15.6,6.1,3.4,1.2,4.1,5.7,Delhi,8,7.5,445.0,3337.78
2,5.7,14.4,1.6,3.3,4.7,2.0,4.9,Bengaluru,6,8.0,212.7,1701.72
2,7.4,24.0,0.4,7.3,2.6,1.1,7.8,Ahmedabad,12,7.4,208.0,1539.53
3,9.2,20.7,4.1,3.6,0.9,2.4,3.9,Ahmedabad,8,7.6,363.9,2765.62
4,3.4,24.0,2.7,0.3,3.7,2.0,2.0,Hyderabad,11,8.3,289.1,2399.45
1,12.0,16.0,2.9,2.6,6.2,3.1,8.6,Kolkata,9,7.7,314.9,2424.84
6,9.9,19.5,1.0,7.4,2.8,5.4,3.4,Ahmedabad,5,7.6,251.9,1914.34
5,2.7,23.1,2.7,1.7,4.7,4.0,7.4,Pune,12,8.1,344.7,2792.31
3,7.9,17.8,1.7,2.6,3.6,4.1,5.2,Pune,3,8.1,240.9,1951.05
1,5.6,23.0,13.4,6.6,3.6,3.0,9.0,Hyderabad,5,8.2,841.7,6901.64
4,6.0,19.6,6.2,2.0,1.4,7.0,5.5,Jaipur,5,7.4,447.1,3308.31
3,7.9,20.1,4.1,3.3,4.0,3.2,4.9,Lucknow,5,7.0,364.3,2550.02
6,9.6,16.4,5.6,6.2,0.1,4.1,7.8,Kolkata,3,7.5,451.0,3382.19
